Hotel ID,Hotel Name,Hotel Rank,Hotel Address,Total Score,Vị trí,Độ sạch sẽ,Dịch vụ,Tiện nghi,Đáng giá tiền,Sự thoải mái và chất lượng phòng
1_11,RIS Panorama Nha Trang,5 sao trên 5,"02 Nguyễn Thị Minh Khai, Nha Trang, Khánh Hòa , RIS Panorama Nha Trang , Lộc Thọ, Nha Trang, Việt Nam, 650000",8.9,9.6,9.0,8.9,8.9,9.0,8.299999999999999
1_12,Khách sạn AZURA (Azura Hotel),2.5 sao trên 5,"6/3 Trần Quang Khải, Phường Lộc Thọ, Lộc Thọ, Nha Trang, Việt Nam, 65000",8.3,9.0,8.3,8.6,7.4,8.4,8.4
1_13,Senkotel Nha Trang do NEST Group quản lý (Senkotel Nha Trang Managed by NEST Group),2 sao trên 5,"64/15 Trần Phú, Lộc Thọ, Nha Trang, Việt Nam",8.2,8.7,8.2,8.6,7.8,8.4,8.299999999999999
1_14,Khu nghỉ dưỡng bãi biển Meliá Vinpearl Cam Ranh (Meliá Vinpearl Cam Ranh Beach Resort),5 sao trên 5,"D6B2 , D7A1 Nguyen Tat Thanh, Cam Hải Đông, Nha Trang, Việt Nam, 650000",8.8,8.0,9.2,9.3,8.8,9.2,8.299999999999999
1_15,Khách Sạn Erica Nha Trang (Erica Nha Trang Hotel),4 sao trên 5,"17 Biệt Thự, Lộc Thọ, Nha Trang, Việt Nam",8.7,9.1,8.9,8.9,8.5,8.8,8.299999999999999
1_16,The Summer Hotel,4 sao trên 5,"34C-D Nguyễn Thiện Thuật , Tân Lập, Nha Trang, Việt Nam, 650000",8.3,8.4,8.3,8.5,7.9,8.2,8.1
1_17,Panorama Nha Trang Ocean View,5 sao trên 5,"2 Nguyễn Thị Minh Khai, Panorama Nha Trang, Lộc Thọ, Nha Trang, Việt Nam, 650000",7.7,9.0,7.6,7.4,7.6,7.7,8.299999999999999
1_18,Pavillon Boutique Hotel & Apartment Nha Trang,4 sao trên 5,"100 Trần Ph&#250;, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.7,8.9,9.1,8.7,8.4,8.8,8.299999999999999
1_19,Royal HPM Hotel,4 sao trên 5,"34/8 Nguyen Thien Thuat street, Tân Lập, Nha Trang, Việt Nam, 0258",8.0,8.1,8.2,8.5,7.9,8.3,8.299999999999999
1_20,Golden Lotus Central Hotel,3 sao trên 5,"64B/15 Tran Phu Street, Loc Tho Ward , Nha Trang City, Lộc Thọ, Nha Trang, Việt Nam, 650000",8.3,8.9,8.3,8.5,8.1,8.5,8.299999999999999
1_21,Libra Nha Trang Hotel,4 sao trên 5,"04 Hung Vuong Loc Tho Ward, Lộc Thọ, Nha Trang, Việt Nam, 650000",9.0,9.3,9.2,9.1,8.8,9.2,8.299999999999999
